library_id,name,street,city,state,zip,latitude,longitude,full_address
12965449844,Inlet Public Library,168;166 State Highway 28,Inlet,NY,13360,43.751246,-74.794741,"168;166 State Highway 28, Inlet, NY, 13360"
543598920,Interlaken Public Library,8390 Main Street,Interlaken,NY,14847,42.617785,-76.725282,"8390 Main Street, Interlaken, NY, 14847"
10573743829,Olin Library,,Ithaca,NY,,42.447730,-76.484583,"Ithaca, NY"
10920172088,Hall House Research Center,73 Forest Avenue,Jamestown,NY,14701,42.091246,-79.239844,"73 Forest Avenue, Jamestown, NY, 14701"
368050169,Hazeltine Public Library,891 Busti-Sugar Grove Road,Jamestown,NY,14701,42.037945,-79.284222,"891 Busti-Sugar Grove Road, Jamestown, NY, 14701"
368050228,James Prendergast Library,509 Cherry Street,Jamestown,NY,14701,42.098242,-79.243823,"509 Cherry Street, Jamestown, NY, 14701"
543610709,Jasper Free Library,3807 Preacher Street,Jasper,NY,14855,42.121595,-77.503431,"3807 Preacher Street, Jasper, NY, 14855"
543624953,Town of Johnsburg Library,219 Main Street,Johnsburg,NY,12853,43.697109,-73.986321,"219 Main Street, Johnsburg, NY, 12853"
543605117,Jordanville Public Library,2425 Jordanville Road,Jordanville,NY,13361,42.914650,-74.951260,"2425 Jordanville Road, Jordanville, NY, 13361"
543621060,Keene Public Library,10928 State Highway 9N,Keene,NY,12942,44.256353,-73.791946,"10928 State Highway 9N, Keene, NY, 12942"
543621106,Keeseville Free Library,1721 Front Street,Keeseville,NY,12944,44.504348,-73.480573,"1721 Front Street, Keeseville, NY, 12944"
543620466,Kennedy Free Library,3593 Church Street,Kennedy,NY,14747,42.158241,-79.101927,"3593 Church Street, Kennedy, NY, 14747"
